cid,bdate,gen
NASAW00011000,6/10/1971,Male
NASAW00011001,10/5/1976,Male
NASAW00011002,9/2/1971,Male
NASAW00011003,14/8/1973,Female
NASAW00011004,5/8/1979,Female
NASAW00011005,1/8/1976,Male
NASAW00011006,2/12/1976,Female
NASAW00011007,6/11/1969,Male
NASAW00011008,4/7/1975,Female
NASAW00011009,29/9/1969,Male
NASAW00011010,5/8/1969,Female
NASAW00011011,3/5/1969,Male
NASAW00011012,14/1/1979,Female
NASAW00011013,3/8/1979,Male
NASAW00011014,6/11/1973,Female
NASAW00011015,26/8/1984,Female
NASAW00011016,25/10/1984,Male
NASAW00011017,24/12/1949,Female
NASAW00011018,6/10/1955,Male
NASAW00011019,4/9/1983,Male
NASAW00011020,19/3/1984,Male
NASAW00011021,2/3/1984,Female
NASAW00011022,10/4/1984,Female
NASAW00011023,9/4/1984,Female
NASAW00011024,16/3/1984,Female
NASAW00011025,22/6/1951,Female
NASAW00011026,1/10/1951,Female
NASAW00011027,5/6/1952,Female
NASAW00011028,9/10/1951,Female
NASAW00011029,19/6/1952,Female
NASAW00011030,18/2/1958,Female
NASAW00011031,18/2/1953,Female
NASAW00011032,8/12/1952,Female
NASAW00011033,19/9/1958,Female
NASAW00011034,16/12/1952,Female
NASAW00011035,23/8/1953,Female
NASAW00011036,16/6/1984,Female
NASAW00011037,27/5/1983,Female
NASAW00011038,20/9/1953,Female
NASAW00011039,16/6/1954,  
NASAW00011040,29/1/1983, 
NASAW00011041,15/4/1983, 
NASAW00011042,11/12/1982,Female
NASAW00011043,23/8/1981,Female
NASAW00011044,21/11/1954,Female
NASAW00011045,16/11/1955,Female
NASAW00011046,19/9/1955,Female
NASAW00011047,27/8/1955,Female
NASAW00011048,21/5/1956,Female
NASAW00011049,15/1/1986,Female
NASAW00011050,6/3/1957,Female
NASAW00011051,31/1/1957,Female
NASAW00011052,3/2/1957,Female
NASAW00011053,17/2/1986,Female
NASAW00011054,7/9/1957,Female
NASAW00011055,2/9/1957,M 
NASAW00011056,1/10/1958,F 
NASAW00011057,7/4/1970,Female
NASAW00011058,23/4/1965,Female
NASAW00011059,29/9/1959,Female
NASAW00011060,14/9/1959,Female
NASAW00011061,20/2/1976,Male
NASAW00011062,1/3/1981,Male
NASAW00011063,4/10/1980,Female
NASAW00011064,5/6/1981,Male
NASAW00011065,8/4/1979,Female
NASAW00011066,27/5/1979,Female
NASAW00011067,25/3/1982,Male
NASAW00011068,19/9/1966,Female
NASAW00011069,17/9/1966,Female
NASAW00011070,2/10/1960,Male
NASAW00011071,23/12/1960,Female
NASAW00011072,5/8/1960,Female
NASAW00011073,11/2/1962,Female
NASAW00011074,25/2/1962,Male
NASAW00011075,16/5/1963,Female
NASAW00011076,10/1/1963,Male
NASAW00011077,19/3/1963,Female
NASAW00011078,6/1/1985,Female
NASAW00011079,7/3/1970,Male
NASAW00011080,13/1/1965,Male
NASAW00011081,21/1/1972,Female
NASAW00011082,1/2/1972,Female
NASAW00011083,11/3/1977,Female
NASAW00011084,12/3/1963,Male
NASAW00011085,16/1/1963,Female
NASAW00011086,22/6/1963,Male
NASAW00011087,2/4/1963,Female
NASAW00011088,25/5/1963,Male
NASAW00011089,5/8/1962,Female
NASAW00011090,13/12/1968,Male
NASAW00011091,2/10/1962,Male
NASAW00011092,2/11/1972,Female
NASAW00011093,6/9/1978,Female
NASAW00011094,29/9/1967,Male
NASAW00011095,29/2/1968,Male
NASAW00011096,7/2/1968,Male
NASAW00011097,23/10/1972,Male
NASAW00011098,29/10/1966,Female
NASAW00011099,5/9/1966,Male
NASAW00011100,15/3/1966,Female
NASAW00011101,5/11/1970,Female
NASAW00011102,19/10/1970,Female
NASAW00011103,12/4/1981,Female
NASAW00011104,8/3/1975,Male
NASAW00011105,27/6/1970,Female
NASAW00011106,11/3/1970,Male
NASAW00011107,4/3/1976,Female
NASAW00011108,10/1/1969,Female
NASAW00011109,30/4/1980,Male
NASAW00011110,4/12/1967,Male
NASAW00011111,23/8/1967,Female
NASAW00011112,8/3/1968,Female
NASAW00011113,17/2/1973,Male
NASAW00011114,25/11/1967,Female
NASAW00011115,12/8/1967,Male
NASAW00011116,2/4/1979,Male
NASAW00011117,21/8/1966,Female
NASAW00011118,31/12/1962,Male
NASAW00011119,7/10/1940,Male
NASAW00011120,6/2/1942,Female
NASAW00011121,18/5/1966,Male
NASAW00011122,30/9/1965,Male
NASAW00011123,18/12/1965,Male
NASAW00011124,23/7/1968,Male
NASAW00011125,6/10/1961,Female
NASAW00011126,5/10/1954,Male
NASAW00011127,19/4/1981,Female
NASAW00011128,3/6/1981,Female
NASAW00011129,1/2/1981,Female
NASAW00011130,5/7/1985,Female
NASAW00011131,9/9/1985,Female
NASAW00011132,25/4/1986,Female
NASAW00011133,8/3/1986,Female
NASAW00011134,22/2/1957,Male
NASAW00011135,2/5/1985,Male
NASAW00011136,24/4/1984,Female
NASAW00011137,17/1/1984,Female
NASAW00011138,14/3/1984,Female
NASAW00011139,5/11/1949,Female
NASAW00011140,11/8/1982,Male
NASAW00011141,19/12/1982,F
NASAW00011142,11/2/1983,M
NASAW00011143,4/8/1982,Male
NASAW00011144,8/3/1985,Male
NASAW00011145,6/6/1985,Female
NASAW00011146,22/2/1945,Female
NASAW00011147,4/8/1944,Male
NASAW00011148,13/2/1947,Male
NASAW00011149,18/10/1946,Male
NASAW00011150,12/9/1946,Male
NASAW00011151,25/8/1947,Female
NASAW00011152,9/7/1981,Male
NASAW00011153,21/12/1981,Female
NASAW00011154,18/2/1982,Female
NASAW00011155,25/7/1981,Male
NASAW00011156,6/8/1981,Female
NASAW00011157,8/12/1980,Female
NASAW00011158,6/4/1981,Male
NASAW00011159,16/3/1981,Female
NASAW00011160,8/7/1979,Male
NASAW00011161,20/10/1979,Female
NASAW00011162,2/9/1979,Male
NASAW00011163,18/6/1980,Male
NASAW00011164,2/11/1979,Male
NASAW00011165,15/1/1979,Female
NASAW00011166,22/10/1977,Female
NASAW00011167,29/1/1978,Female
NASAW00011168,12/11/1973,Male
NASAW00011169,20/12/1973,Male
NASAW00011170,4/8/1973,Female
NASAW00011171,5/10/1978,Male
NASAW00011172,20/5/1973,Female
NASAW00011173,28/2/1973,Female
NASAW00011174,9/1/1973,Male
NASAW00011175,1/9/1968,Male
NASAW00011176,21/1/1979,Male
NASAW00011177,1/1/1948,Male
NASAW00011178,20/8/1954,Male
NASAW00011179,8/12/1959,Female
NASAW00011180,1/7/1948,Female
NASAW00011181,1/2/1960,Male
NASAW00011182,22/2/1950,Female
NASAW00011183,12/1/1950,Female
NASAW00011184,13/11/1955,Female
NASAW00011185,7/4/1950,Female
NASAW00011186,18/11/1949,Female
NASAW00011187,21/8/1949,Female
NASAW00011188,6/3/1950,Female
NASAW00011189,12/1/1950,Male
NASAW00011190,20/12/1949,Male
NASAW00011191,17/6/1951,Female
NASAW00011192,13/3/1951,Male
NASAW00011193,13/8/1950,Male
NASAW00011194,8/12/1950,Female
NASAW00011195,10/8/1951,Female
NASAW00011196,5/12/1951,Male
NASAW00011197,16/12/1951,Female
NASAW00011198,25/5/1952,Female
NASAW00011199,2/11/1957,Female
NASAW00011200,21/5/1953,Male
NASAW00011201,14/2/1953,Female
NASAW00011202,22/8/1958,Female
NASAW00011203,18/8/1959,Male
NASAW00011204,29/11/1953,Female
NASAW00011205,21/1/1954,Female
NASAW00011206,24/3/1954,Male
NASAW00011207,16/1/1954,Female
NASAW00011208,3/8/1953,Female
NASAW00011209,12/7/1953,Female
NASAW00011210,6/12/1953,Male
NASAW00011211,8/10/1960,Female
NASAW00011212,5/5/1955,Female
NASAW00011213,11/11/1954,Female
NASAW00011214,7/5/1955,Male
NASAW00011215,17/6/1961,Female
NASAW00011216,17/11/1955,Female
NASAW00011217,11/8/1955,Female
NASAW00011218,7/9/1961,Female
NASAW00011219,31/5/1956,Male
NASAW00011220,19/2/1961,Female
NASAW00011221,8/12/1955,Male
NASAW00011222,14/2/1956,Female
NASAW00011223,15/3/1957,Female
NASAW00011224,5/3/1957,Female
NASAW00011225,12/2/1962,Female
NASAW00011226,23/9/1962,Female
NASAW00011227,8/8/1962,Male
NASAW00011228,16/10/1956,Female
NASAW00011229,1/6/1957,Male
NASAW00011230,30/9/1956,Female
NASAW00011231,11/11/1963,Male
NASAW00011232,27/3/1958,Female
NASAW00011233,6/9/1963,Male
NASAW00011234,19/5/1958,Female
NASAW00011235,7/8/1957,Male
NASAW00011236,2/9/1957,Male
NASAW00011237,22/3/1964,Male
NASAW00011238,7/2/1964,Female
NASAW00011239,2/10/1969,Female
NASAW00011240,9/6/1964,Female
NASAW00011241,6/4/1974,Female
NASAW00011242,11/5/1963,Male
NASAW00011243,8/4/1963,Female
NASAW00011244,22/11/1968,Female
NASAW00011245,26/4/1962,Male
NASAW00011246,8/4/1962,Female
NASAW00011247,4/12/1961,Female
NASAW00011248,22/3/1966,Male
NASAW00011249,9/7/1966,Female
NASAW00011250,8/3/1966,Female
NASAW00011251,1/1/1938,Male
NASAW00011252,5/12/1937,Male
NASAW00011253,24/8/1949,Male
NASAW00011254,31/8/1938,Male
NASAW00011255,2/10/1938,Male
NASAW00011256,20/3/1939,Female
NASAW00011257,6/7/2050,Female
NASAW00011258,26/12/1938,Male
NASAW00011259,24/9/1970,Female
NASAW00011260,8/4/1976,Female
NASAW00011261,22/10/1970,Female
NASAW00011262,1/5/1975,Female
NASAW00011263,11/3/1970,Female
NASAW00011264,15/12/1969,Male
NASAW00011265,10/1/1970,Female
NASAW00011266,2/11/1969,Female
NASAW00011267,29/9/1975,Male
NASAW00011268,31/10/1969,Female
NASAW00011269,10/10/1975,Male
NASAW00011270,1/5/1975,Male
NASAW00011271,3/12/1969,Female
NASAW00011272,10/5/1962,Female
NASAW00011273,31/3/1962,Male
NASAW00011274,10/10/1939,Male
NASAW00011275,18/7/1939,Female
NASAW00011276,15/9/1974,Female
NASAW00011277,7/12/1968,Male
NASAW00011278,16/2/1969,Male
NASAW00011279,8/9/1974,Female
NASAW00011280,17/2/1969,Male
NASAW00011281,6/10/1974,Female
NASAW00011282,16/7/1967,Male
NASAW00011283,24/4/1968,Male
NASAW00011284,24/9/1967,Female
NASAW00011285,15/3/1973,Male
NASAW00011286,31/8/1967,Male
NASAW00011287,16/7/1966,Male
NASAW00011288,12/3/1978,Female
NASAW00011289,3/3/1972,Female
NASAW00011290,14/8/1972,Female
NASAW00011291,1/5/1972,Female
NASAW00011292,5/5/1967,Male
NASAW00011293,23/11/1960,Male
NASAW00011294,2/3/1961,Male
NASAW00011295,13/11/1959,Female
NASAW00011296,5/4/1941,Female
NASAW00011297,1/8/1940,Male
NASAW00011298,30/8/1940,Male
NASAW00011299,29/9/1941,Male
NASAW00011300,31/8/1965,Male
NASAW00011301,7/12/1965,Male
NASAW00011302,9/12/1971,Male
NASAW00011303,10/4/1966,Female
NASAW00011304,14/3/1971,Female
NASAW00011305,17/12/1965,Male
NASAW00011306,20/12/1965,Male
NASAW00011307,31/10/1965,Male
NASAW00011308,2/9/1959,Male
NASAW00011309,10/12/1959,Female
NASAW00011310,5/7/1964,Female
NASAW00011311,21/2/1959,Female
NASAW00011312,1/10/1958,Female
NASAW00011313,27/8/1958,Male
NASAW00011314,16/6/1970,Female
NASAW00011315,31/3/1959,Female
NASAW00011316,17/5/1959,Male
NASAW00011317,14/9/1963,Female
NASAW00011318,25/4/1958,Female
NASAW00011319,23/4/1948,Female
NASAW00011320,24/12/1942,Female
NASAW00011321,5/1/1944,Male
NASAW00011322,12/9/1943,Female
NASAW00011323,18/12/1943,Male
NASAW00011324,10/11/1944,Male
NASAW00011325,29/12/1944,Male
NASAW00011326,23/12/1944,Male
NASAW00011327,1/9/1945,Male
NASAW00011328,30/6/1945,Male
NASAW00011329,22/1/1946,Male
NASAW00011330,10/11/1945,Male
